exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
2,ref_non,ref,non,17,верблюд,Y,Y2,верблюд,1,730
2,ref_non,ref,non,20,календарь,Y,Y2,календарь,1,931
2,ref_non,ref,non,29,багажник,Y,Y2,багажник,1,2285
2,ref_non,ref,non,41,жалюзи,Y,Y2,жалюзи,1,1512
2,ref_non,ref,non,39,ракетка,Y,Y2,ракетка,1,1704
2,ref_non,ref,non,46,шахматы,Y,Y2,"шахматная доска... шахматы, наверное",1,
2,ref_non,ref,non,50,степлер,Y,Y2,степлер,1,1772
2,ref_non,ref,non,59,автобус,Y,Y2,автобус,1,1738
2,ref_non,ref,non,64,страус,Y,Y2,страус,1,1361
2,ref_non,ref,non,69,мочалка,Y,Y2,мочалка,1,1226
2,ref_non,ref,non,75,самокат,Y,Y2,самокат,1,832
2,ref_let,ref,let,10,коридор,Y,Y2,коридор,1,1123
2,ref_let,ref,let,3,глобус,Y,Y2,глобус,1,979
2,ref_let,ref,let,11,подбородок,Y,Y2,подбородок,1,1704
2,ref_let,ref,let,21,трон,Y,Y2,трон,1,2892
2,ref_let,ref,let,26,форточка,Y,Y2,форточка,1,1083
2,ref_let,ref,let,27,намордник,Y,Y2,намордник,1,3918
2,ref_let,ref,let,42,салфетка,Y,Y2,салфетка,1,1028
2,ref_let,ref,let,43,водопад,Y,Y2,водопад,1,1040
2,ref_let,ref,let,51,иллюминатор,Y,Y2,иллюминатор,1,2612
2,ref_let,ref,let,53,наручники,Y,Y2,наручники,1,1497
2,ref_let,ref,let,66,кенгуру,Y,Y2,кенгуру,1,1036
2,ref_let,ref,let,68,удочка,Y,Y2,удочка,1,1317
2,ref_let,ref,let,76,антенна,Y,Y2,антенна,1,2316
2,ref_col,ref,col,13,перекресток,Y,Y2,перекресток,1,1662
2,ref_col,ref,col,9,шлагбаум,Y,Y2,шлагбаум,1,2541
2,ref_col,ref,col,15,венок,Y,Y2,венок,1,1952
2,ref_col,ref,col,23,маяк,Y,Y2,маяк,1,1907
2,ref_col,ref,col,28,термос,Y,Y2,термос,1,5729
2,ref_col,ref,col,32,якорь,Y,Y2,якорь,1,1191
2,ref_col,ref,col,34,шишка,Y,Y2,шишка,1,1651
2,ref_col,ref,col,47,фартук,Y,Y2,фартук,1,1333
2,ref_col,ref,col,49,троллейбус,Y,Y2,троллейбус,1,3061
2,ref_col,ref,col,57,осьминог,Y,Y2,осьминог,1,2600
2,ref_col,ref,col,56,череп,Y,Y2,череп,1,1277
2,ref_col,ref,col,72,выключатель,Y,Y2,выключатель,1,2213
2,ref_col,ref,col,78,метла,Y,Y2,метла,1,1739
2,inf_non,inf,non,5,акула,Y,Y2,акула,1,2761
2,inf_non,inf,non,4,официант,Y,Y2,официант,1,2862
2,inf_non,inf,non,16,скалка,Y,Y2,скалка,1,1314
2,inf_non,inf,non,22,парашют,Y,Y2,парашют,1,1104
2,inf_non,inf,non,30,телескоп,Y,Y2,,3,
2,inf_non,inf,non,36,жираф,Y,Y2,жираф,1,528
2,inf_non,inf,non,44,фонтан,Y,Y2,фонтан,1,1559
